Date,BPM
1713934330161,105
1713934330860,102
1713934331664,98
1713934332626,92
1713934333610,86
1713934334588,81
1713934335149,81
1713934335509,83
1713934336373,79
1713934337193,77
1713934338094,75
1713934338937,74
1713934339778,73
1713934340540,75
1713934341342,77
1713934341821,82
1713934342243,84
1713934342505,86
1713934343144,88
1713934343665,92
1713934343984,102
1713934344824,102
1713934345307,108
1713934345668,117
1713934345925,131
1713934346548,127
1713934346928,128
1713934347351,124
1713934347609,134
1713934348190,133
1713934348690,127
1713934348993,143
1713934349792,134
1713934350554,123
1713934351418,109
1713934351959,111
1713934352298,111
1713934353138,103
1713934353663,99
1713934354003,103
1713934354261,108
1713934354802,103
1713934355146,112
1713934355625,118
1713934355903,134
1713934356366,136
1713934356665,137
1713934357025,154
1713934357287,166
1713934357550,169
1713934357807,169
1713934358312,171
1713934358610,173
1713934359069,173
1713934359351,173
1713934359933,169
1713934360293,166
1713934360814,159
1713934361134,156
1713934361694,145
1713934362034,142
1713934362538,142
1713934362838,142
1713934363378,139
1713934363701,138
1713934364242,139
1713934364582,139
1713934365040,142
1713934365303,144
1713934365803,145
1713934366126,147
1713934366626,146
1713934366945,146
1713934367486,145
1713934367826,145
1713934370993,236
1713934371593,208
1713934371955,200
1713934372475,184
1713934372778,181
1713934373355,165
1713934373700,161
1713934374240,150
1713934374560,147
1713934375100,137
1713934375440,134
1713934375960,137
1713934376284,138
1713934376825,137
1713934377165,137
1713934377706,137
1713934378046,137
1713934378627,136
1713934378987,135
1713934379528,136
1713934379851,136
1713934380413,135
1713934380753,134
1713934381211,137
1713934381494,138
1713934382076,137
1713934382895,123
1713934383739,117
1713934384538,108
1713934385361,102
1713934386184,94
1713934387044,90
1713934387569,87
1713934387929,89
1713934388670,83
1713934389468,80
1713934390292,80
1713934391132,80
1713934391955,80
1713934392774,80
1713934393638,80
1713934394478,80
1713934395281,78
1713934395919,75
1713934396403,77
1713934396882,80
1713934397185,87
1713934397726,91
1713934398505,91
1713934399266,92
1713934400089,93
1713934400929,93
1713934401531,96
1713934401908,100
1713934402633,96
1713934403133,96
1713934403456,95
1713934403730,100
1713934404374,102
1713934404955,106
1713934405295,115
1713934406015,118
1713934406778,114
